vendor_account_nb,Max_final_score_date,Min_data_clctn_start_date,NM1_discount_pc,NM1_score_qt,NM1_channel_cd,NM1_rate_state_abbr_nm
57989805,2020-11-13,2020-06-25,31,122,EA,AL
86935146,2020-11-13,2020-06-25,31,122,EA,AL
14280757,2020-11-13,2020-06-25,29,133,EA,AL
74265233,2020-11-13,2020-06-25,28,143,EA,AL
97053912,2020-11-12,2020-06-26,25,154,IA,AL
28472770,2020-11-17,2020-06-26,12,168,IA,AL
62862084,2020-11-17,2020-06-26,0,998,IA,AL
85736232,2020-11-10,2020-06-29,32,105,EA,AL
15580983,2020-11-17,2020-06-29,25,150,EA,AL
25376258,2020-11-12,2020-06-30,25,153,IA,AL
22620732,2020-11-12,2020-06-30,0,998,IA,AL
89298620,2020-11-19,2020-06-30,28,142,EA,AL
12581523,2020-11-18,2020-06-30,21,157,EA,AL
43479744,2020-11-16,2020-07-01,12,170,IA,AL
71669796,2020-11-16,2020-07-01,29,127,IA,AL
16281152,2020-12-01,2020-07-01,29,125,EA,AL
68059093,2020-10-28,2020-10-06,0,0,EA,AL
78789638,2020-11-17,2020-07-02,32,111,EA,AL
61238013,2020-11-18,2020-07-06,25,147,IA,AL
68842662,2020-11-18,2020-07-06,35,74,IA,AL
43192199,2020-11-18,2020-07-06,35,88,IA,AL
66194374,2020-11-20,2020-07-06,12,167,EA,AL
95408680,2020-11-19,2020-07-07,29,127,EA,AL
94730650,2020-11-19,2020-07-07,21,156,EA,AL
94824416,2020-11-20,2020-07-08,0,998,EA,AL
23587709,2020-08-18,2020-07-08,0,0,EA,AL
69602914,2020-11-23,2020-07-08,28,139,EA,AL
62855338,2020-11-23,2020-07-08,25,148,EA,AL
21864190,2020-11-23,2020-07-09,21,159,EA,AL
31848627,2020-11-23,2020-07-09,25,154,EA,AL
10280590,2020-11-24,2020-07-09,25,152,EA,AL
17602439,2020-11-24,2020-07-09,21,162,EA,AL
59265559,2020-11-24,2020-07-10,25,146,EA,AL
18622647,2020-11-24,2020-07-11,21,155,EA,AL
82970039,2020-11-25,2020-07-13,25,152,EA,AL
66340227,2020-12-01,2020-08-19,31,113,EA,AL
98735347,2020-12-01,2020-08-19,40,42,EA,AL
18966619,2020-11-30,2020-07-14,25,153,EA,AL
65014817,2020-11-30,2020-07-14,29,125,EA,AL
84698788,2020-12-01,2020-07-16,25,151,EA,AL
23287895,2020-12-07,2020-07-17,29,125,EA,AL
32283949,2020-12-18,2020-07-17,32,97,EA,AL
38484323,2020-12-01,2020-07-17,21,161,EA,AL
14110127,2020-12-01,2020-07-17,28,141,EA,AL
80762221,2020-12-01,2020-07-17,25,148,EA,AL
51523495,2020-12-02,2020-07-20,29,129,EA,AL
22188909,2020-12-03,2020-07-21,12,173,IA,AL
92106125,2020-11-19,2020-10-08,0,0,EA,AL
65068976,2020-11-19,2020-10-08,0,0,EA,AL
11498541,2020-12-08,2020-07-22,29,129,IA,AL
33038621,2020-12-07,2020-07-23,25,146,IA,AL
51005188,2020-12-09,2020-08-27,35,65,EA,AL
61294620,2020-12-08,2020-07-25,35,93,EA,AL
48139418,2020-12-09,2020-07-27,29,132,EA,AL
69843717,2020-12-09,2020-07-27,31,122,EA,AL
85742377,2020-12-09,2020-07-27,5,185,EA,AL
18804764,2020-12-11,2020-07-29,0,998,EA,AL
83563481,2020-12-15,2020-08-01,21,160,EA,AL
69723380,2020-12-29,2020-08-04,32,111,EA,AL
36309444,2020-12-23,2020-08-05,31,124,IA,AL
53955585,2021-01-28,2020-08-05,25,151,EA,AL
94810208,2020-12-21,2020-08-06,25,148,EA,AL
51170551,2020-12-21,2020-08-06,0,998,EA,AL
44606187,2020-12-21,2020-06-18,40,47,EA,AL
56187039,2020-12-29,2020-08-06,40,45,EA,AL
92038450,2020-12-21,2020-08-06,40,55,EA,AL
99825844,2020-12-21,2020-08-06,15,0,EA,AL
89945278,2020-12-22,2020-08-07,15,0,IA,AL
48668076,2020-12-22,2020-08-07,0,998,IA,AL
51914757,2020-12-22,2020-08-08,31,120,EA,AL
35906436,2021-01-04,2020-08-11,35,90,EA,AL
90764107,2020-12-28,2020-08-11,31,118,EA,AL
90442384,2021-01-15,2020-08-11,29,127,IA,AL
20638874,2020-12-28,2020-08-11,28,135,EA,AL
79003131,2020-12-30,2020-08-12,25,152,EA,AL
22010249,2020-12-29,2020-08-12,25,150,EA,AL
38267786,2020-12-29,2020-08-12,29,125,EA,AL
52823226,2020-12-29,2020-08-13,29,131,EA,AL
27621215,2020-12-29,2020-08-13,21,165,EA,AL
64912254,2020-12-29,2020-08-13,0,998,IA,AL
99675401,2020-12-29,2020-08-13,25,152,EA,AL
10264310,2020-12-29,2020-08-13,5,190,EA,AL
85340042,2020-12-29,2020-08-13,0,998,EA,AL
33336456,2021-01-07,2020-08-13,5,183,EA,AL
87236063,2021-01-07,2020-08-20,25,151,EA,AL
48386593,2021-01-05,2020-08-20,0,242,EA,AL
81915923,2021-01-05,2020-08-20,21,164,EA,AL
44151013,2020-09-16,2020-08-21,0,0,EA,AL
32635239,2021-01-06,2020-08-24,31,121,EA,AL
27510675,2021-01-06,2020-08-25,15,0,IA,AL
46238994,2021-01-06,2020-08-25,21,163,IA,AL
62954562,2021-01-07,2020-08-25,21,155,EA,AL
97776373,2020-12-09,2020-11-30,0,0,EA,AL
54268011,2021-01-12,2020-08-26,21,155,EA,AL
63452037,2020-08-31,2020-08-28,0,0,IA,AL
87910187,2021-01-11,2020-08-27,12,169,EA,AL
51755864,2021-01-11,2020-08-27,21,155,EA,AL
76143110,2021-01-12,2020-08-27,25,145,EA,AL
12436126,2020-09-03,2020-08-28,0,0,EA,AL
30595412,2021-01-12,2020-08-31,32,101,EA,AL
46869388,2021-01-12,2020-10-07,25,148,EA,AL
34366847,2021-01-12,2020-09-01,28,134,EA,AL
66503782,2021-01-12,2020-09-01,40,37,EA,AL
92448201,2021-01-12,2020-09-01,32,100,EA,AL
97569746,2021-01-28,2020-09-01,21,156,EA,AL
26771194,2021-01-13,2020-09-03,12,168,IA,AL
72112053,2021-01-15,2020-09-05,21,161,EA,AL
16564240,2021-01-15,2020-09-05,28,137,EA,AL
62449586,2021-01-20,2020-09-08,25,149,EA,AL
85711819,2021-01-20,2020-09-08,25,153,IA,AL
87268249,2021-01-20,2020-09-08,29,126,IA,AL
13813792,2021-01-20,2020-09-08,0,998,EA,AL
12756453,2021-01-20,2020-09-09,28,137,EA,AL
96905990,2021-02-16,2020-09-10,21,161,EA,AL
63028874,2021-02-11,2020-09-10,21,159,EA,AL
42250043,2021-02-11,2020-09-10,40,29,IA,AL
76156123,2021-01-20,2020-09-10,0,998,EA,AL
99447626,2021-01-21,2020-09-09,29,129,IA,AL
68715706,2021-01-22,2020-09-11,21,156,EA,AL
53950748,2021-02-09,2020-09-14,32,101,EA,AL
60155625,2021-01-26,2020-09-14,21,155,EA,AL
13335756,2021-01-26,2020-09-15,28,142,EA,AL
